Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Notice of Special Interest (NOSI): Common Mechanisms and Interactions Among Neurodegenerative Diseases","1/15/2025","11/17/2027","R21,R01","NIH","NIA","None","NOT-AG-24-031","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-031.html"
"Notice of Special Interest (NOSI): Understanding and Addressing Weight Stigma, Bias, and Discrimination to Promote Health Equity","1/14/2025","5/8/2028","K99/R00,K01,R34,R01,K24,K08,K23,R03,R21","NIH","NHLBI","NCI, NIA, NINR, OBSSR, ODP, ONR, ORWH, SGMRO, THRO","NOT-HL-24-032","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-HL-24-032.html"
"NCI Pathway to Independence Award (K99/R00  Clinical Trial Required)","1/14/2025","10/15/2027","K99/R00","NIH","NCI","None","PAR-25-313","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-313.html"
"Ethical, Legal and Social Implications (ELSI) Research (R01 Clinical Trial Optional)","1/13/2025","11/19/2026","R01","NIH","NHGRI","NCI, NEI, NIAID, NICHD, NIDA, NIDCD, NIEHS, NIMH, NIMHD, NINDS, OBSSR, ORWH, THRO","PAR-25-371","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-371.html"
"Ethical, Legal and Social Implications (ELSI) Small Research Grant (R03 Clinical Trial Optional)","1/13/2025","11/17/2026","R03","NIH","NHGRI","FIC, NCI, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, OBSSR, ODSS, ORWH, THRO","PAR-25-370","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-370.html"
"Ethical, Legal and Social Implications (ELSI) Exploratory/Developmental Research Grant (R21 Clinical Trial Optional)","1/13/2025","11/19/2026","R21","NIH","NHGRI","FIC, NCI, NEI, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, NINDS, OBSSR, ORWH, THRO","PAR-25-369","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-369.html"
"Notice of Special Interest (NOSI): Alzheimers and Alzheimers-related Dementias (AD/ADRD) Focused Competitive Revisions to Existing NIH Grants that are not focused on AD/ADRD","1/13/2025","3/7/2025","332","NIH","NIA","FIC, NCCIH, NCI, NEI, NHGRI, NIAAA, NIAID, NIBIB, NIDA, NIDCR, NIEHS, NIMH, NLM, ORIP","NOT-AG-24-073","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-073.html"
"Notice of Special Interest (NOSI): Understanding Alzheimer's Disease in the Context of the Aging Brain","1/13/2025","11/17/2027","R01,R21","NIH","NIA","None","NOT-AG-24-032","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-032.html"
"Molecular Mechanisms of Combination Adjuvants (MMCA) (R01 Clinical Trial Not Allowed)","1/13/2025","6/11/2025","R01","NIH","NIAID","None","RFA-AI-25-006","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-25-006.html"
"Interventions on Health and Healthcare Disparities on Non-Communicable and Chronic Diseases in Latin America: Improving Health Outcomes Across the Hemisphere (R01 - Clinical Trial Required)","1/13/2025","5/8/2027","R01","NIH","NIMHD","NINR, ORWH","PAR-25-342","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-342.html"
"NIDDK High Risk Multi-Center Clinical Study Implementation Planning Cooperative Agreements (U34 Clinical Trial Optional)","1/10/2025","6/11/2027","U34","NIH","NIDDK","None","PAR-25-090","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-090.html"
"Time-Sensitive Evaluation of Policies Affecting Health Behaviors and Chronic Disease Risk (R01-Clinical Trial Not Allowed)","1/10/2025","1/12/2028","R01","NIH","NIDDK","NCI, NICHD, ODP","PAR-25-312","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-312.html"
"Disseminating PCOR Evidence for Long COVID Care into Practice Through Up-to-Date Clinical Decision Support","1/10/2025","4/11/2025","R18","AHRQ","AHRQ","None","RFA-HS-25-001","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HS-25-001.html"
"Single Source: Bench to Bassinet Congenital Heart disease Advancing New understanding in GEnomics Cohort (B2B CHANGE Cohort) Data Coordinating Center (U01 Clinical Trial Not Allowed)","1/10/2025","3/19/2025","U01","NIH","NHLBI","None","RFA-HL-26-007","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-007.html"
"Multimodal Artificial Intelligence to Accelerate HIV Clinical Care (R01 Clinical Trial Optional)","1/10/2025","3/28/2025","R01","NIH","NIMH","NIDA","RFA-MH-26-105","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-26-105.html"
"NEI Clinical Research Study Planning Grant Program (R34 Clinical Trial Not Allowed)","1/10/2025","1/8/2028","R34","NIH","NEI","None","PAR-25-358","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-358.html"
"Limited Competition: Small Grant Program for NIDDK K01/K08/K23/K25 Recipients (R03 Clinical Trial Optional)","1/10/2025","1/8/2028","R03","NIH","NIDDK","None","PAR-25-091","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-091.html"
"Notice of Special Interest (NOSI): Selective Cell and Network Vulnerability in Aging and Alzheimers Disease","1/10/2025","11/17/2027","R21,R01","NIH","NIA","None","NOT-AG-24-033","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-033.html"
"Development and Testing of Novel Interventions to Improve HIV Prevention, Treatment, and Program Implementation for People Who Use Substances (R34 Clinical Trial Required)","1/8/2025","5/8/2027","R34","NIH","NIDA","None","PAR-24-329","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-329.html"
"Limited Competition: Advancing the Science of Complementary and Integrative Health Approaches to Improve Maternal Health Outcomes (R01 Clinical Trial Required)","1/8/2025","5/6/2025","R01","NIH","NCCIH","NICHD, NIMH, ODP, ORWH","RFA-AT-25-002","RFA","Required","https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-25-002.html"
"Understanding the Intersection of Social Inequities to Optimize Health and Reduce Health Disparities: The Axes Initiative (R01 Clinical Trial Optional)","1/8/2025","3/11/2025","R01","NIH","NINR","NCI, NIMH, ORWH","RFA-NR-25-004","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-NR-25-004.html"
"HEAL Initiative: Pain Research Enhancement Program (PREP) (R15 Clinical Trial Optional)","1/8/2025","11/24/2026","R15","NIH","NCCIH","NIA, NIAAA, NIAMS, NICHD, NIDCR, NINDS","RFA-AT-25-003","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-25-003.html"
"Small R01s for Clinical Trials Targeting Diseases within the Mission of NIDDK (R01 Clinical Trial Required)","1/8/2025","5/8/2026","R01","NIH","NIDDK","None","PAS-25-102","PAS","Required","https://grants.nih.gov/grants/guide/pa-files/PAS-25-102.html"
"Unveiling Health and Healthcare Disparities in Non-Communicable and Chronic Diseases in Latin America: Setting the Stage for Better Health Outcomes Across the Hemisphere (R01 - Clinical Trials Not Allowed)","1/8/2025","1/8/2027","R01","NIH","NIMHD","NCI, NIA, NIDCR, NINR, ORWH","PAR-25-377","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-377.html"
"Priority HIV/AIDS Research within the Mission of NIDDK (R01 Clinical Trial Optional)","1/8/2025","1/8/2028","R01","NIH","NIDDK","None","PAS-25-073","PAS","Optional","https://grants.nih.gov/grants/guide/pa-files/PAS-25-073.html"
"Prospective Observational Comparative Effectiveness Research in Clinical Neurosciences (UG3/UH3 Clinical Trial Not Allowed)","1/8/2025","9/8/2025","UG3/UH3","NIH","NINDS","None","PAR-25-048","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-048.html"
"Pilot Studies of Biological, Behavioral and Social Mechanisms Contributing to HIV Pathogenesis Within the Mission of NIDDK (R21 Clinical Trial Not Allowed)","1/8/2025","1/8/2028","R21","NIH","NIDDK","None","PAR-25-068","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-068.html"
"Small Grants for New Investigators to Broaden Participation in Health-Related Research (R21 Clinical Trial Optional)","1/8/2025","1/8/2028","R21","NIH","NIDDK","NHGRI, NIBIB","PAR-25-097","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-097.html"
"Joint NINDS/NIMH Exploratory Neuroscience Research Grant (R21 Clinical Trial Not Allowed)","1/8/2025","1/8/2028","R21","NIH","NINDS","NIMH","PA-25-150","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-150.html"
"Advancing HIV/AIDS Research within the Mission of the NIDCD (R21 Clinical Trial Optional)","1/8/2025","1/8/2028","R21","NIH","NIDCD","None","PAR-25-318","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-318.html"
"Advancing HIV/AIDS Research within the Mission of the NIDCD (R01 Clinical Trial Optional)","1/8/2025","1/8/2028","R01","NIH","NIDCD","None","PAR-25-319","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-319.html"
"Multidisciplinary Studies of HIV/AIDS and Aging (R21 Clinical Trial Optional)","1/8/2025","1/8/2027","R21","NIH","NIA","NCI, NHLBI, NIAMS, NIDA, NIDCR, NIDDK, NIMH, NINDS, ORWH","PAR-25-355","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-355.html"
"Multidisciplinary Studies of HIV/AIDS and Aging (R01 Clinical Trial Optional)","1/8/2025","1/8/2027","R01","NIH","NIA","NCI, NHLBI, NIAMS, NIDA, NIDCR, NIDDK, NIMH, NINDS, ORWH","PAR-25-354","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-354.html"
"Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional)","1/8/2025","1/8/2026","R21","NIH","NIBIB","NEI, NIA","PA-25-169","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-169.html"
"NIDCD Research Dissertation Fellowship for Au.D. Audiologists (F32)","1/8/2025","1/8/2028","F32","NIH","NIDCD","None","PAR-25-250","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-250.html"
"Notice of Special Interest (NOSI): Major Opportunities for Research in Epidemiology of Alzheimer's Disease and Alzheimer's Disease-Related Dementias (AD/ADRD) and Cognitive Resilience","1/8/2025","11/17/2027","R01,R21","NIH","NIA","None","NOT-AG-24-042","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-042.html"
"Notice of Special Interest (NOSI): Novel Approaches to Characterizing and Diagnosing Alzheimer's Disease and Related Dementias","1/8/2025","11/17/2027","R01,R21","NIH","NIA","None","NOT-AG-24-030","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-030.html"
"Notice of Special Interest (NOSI): Research Supplements to Promote Diversity in Environmental influences on Child Health Outcomes (ECHO) Program Research (Admin Supp - Clinical Trial Not Allowed)","1/7/2025","3/1/2025","Admin Supp","NIH","OD","None","NOT-OD-25-042","NOSIS","Not_Allowed","https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-042.html"
"NEI Translational Research Program for Therapeutics (R33 Clinical Trial Not Allowed)","1/7/2025","3/17/2025","R33","NIH","NEI","None","PAR-25-363","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-363.html"
"NEI Translational Research Program for Therapeutics (R61/R33 Clinical Trial Not Allowed)","1/7/2025","3/17/2025","R61/R33","NIH","NEI","None","PAR-25-335","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-335.html"
"Complement-ARIE New Approach Methodologies (NAMs) Data Hub and Coordinating Center (U24 Clinical Trial Optional)","1/7/2025","3/11/2025","U24","NIH","RMOD","None","RFA-RM-24-013","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-24-013.html"
"Method to Extend Research in Time (MERIT) Award Extension Request (Type 4 eSubmission Clinical Trial Optional)","1/6/2025","9/8/2028","444","NIH","NCI","None","PAR-25-324","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-324.html"
"NIDCD Cooperative Agreement for Clinical Trials in Communication Disorders (U01 - Clinical Trial Required)","1/6/2025","10/19/2027","U01","NIH","NIDCD","None","PAR-25-343","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-343.html"
"In Vivo High-Resolution Imaging for Inner Ear Visualization (R01 Clinical Trial optional)","1/6/2025","10/2/2026","R01","NIH","NIDCD","None","RFA-DC-25-005","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-25-005.html"
"Cooperative Agreement for In Vivo High-Resolution Imaging for Inner Ear Visualization (U01 Clinical Trial Required)","1/6/2025","10/2/2026","U01","NIH","NIDCD","None","RFA-DC-25-003","RFA","Required","https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-25-003.html"
"NIDDK High Risk Multi-Center Clinical Study Cooperative Agreement (U01 Clinical Trial Not Allowed)","1/3/2025","11/6/2026","U01","NIH","NIDDK","None","PAR-25-089","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-089.html"
"NIDDK High Risk Multi-Center Clinical Study Cooperative Agreement (U01 Clinical Trial Required)","1/3/2025","11/6/2026","U01","NIH","NIDDK","None","PA-25-147","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-147.html"
"Development of Medications to Prevent and Treat Substance Use Disorders and Overdose (UG3/UH3 - Clinical Trial Optional)","1/3/2025","8/12/2025","UG3/UH3","NIH","NIDA","None","PAR-25-329","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-329.html"
"Grand Opportunity in Medications Development for Substance-Use Disorders (U01 Clinical Trial Optional)","1/3/2025","8/12/2025","U01","NIH","NIDA","None","PAR-25-328","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-328.html"
"NEI Research Grant for Vision-Related Secondary Data Analysis (R21 Clinical Trial Not Allowed)","1/2/2025","10/17/2027","R21","NIH","NEI","None","PAR-25-357","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-357.html"
"Substance Use/Substance Use Disorder Dissertation Research Award (R36 Clinical Trials Not Allowed)","1/2/2025","9/8/2026","R36","NIH","NIDA","None","PAR-25-347","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-347.html"
"Ruth L. Kirschstein National Research Service Award (NRSA) Short-Term Institutional Research Training Grant (Parent T35)","1/2/2025","5/8/2028","T35","NIH","OD","NCCIH, NEI, NHLBI, NIA, NIAAA, NIBIB, NIDCD, NIDDK, NIEHS","PA-25-280","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-280.html"
"Notice of Special Interest (NOSI): Human Cell Biology of Alzheimer's Disease Genetic Variants","12/31/2024","11/17/2027","R01,R21","NIH","NIA","None","NOT-AG-24-039","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-039.html"
"Academic-Industrial Partnerships for Translation of Technologies for Diagnosis and Treatment (R01 - Clinical Trial Not Allowed)","12/31/2024","1/8/2028","R01","NIH","NCI","NEI, NIDCR, ORWH","PAR-25-338","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-338.html"
"Academic-Industrial Partnerships for Translation of Technologies for Diagnosis and Treatment (R01 - Clinical Trial Optional)","12/31/2024","1/8/2028","R01","NIH","NCI","None","PAR-25-337","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-337.html"
"Revision Applications for Incorporation of Novel NCI- Supported Technology to Accelerate Cancer Research (U01 Clinical Trial Optional)","12/31/2024","10/4/2025","U01","NIH","NCI","None","RFA-CA-25-006","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-006.html"
"Revision Applications for Incorporation of Novel NCI-Supported Technology to Accelerate Cancer Research (P50 Clinical Trial Optional)","12/31/2024","10/4/2025","P50","NIH","NCI","None","RFA-CA-25-007","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-007.html"
"Revision Applications for Incorporation of Novel NCI-Supported Technology to Accelerate Cancer Research (R01 Clinical Trial Optional)","12/31/2024","10/4/2025","R01","NIH","NCI","None","RFA-CA-25-005","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-005.html"
"NIAID, NIDDK, NIDA, and NIAAA Research Opportunities for New and At-Risk Investigators (R01 Clinical Trial Optional)","12/31/2024","9/8/2025","R01","NIH","NIAID","NIAAA, NIDA, NIDDK","PA-25-249","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-249.html"
"Innovative Pilot Mental Health Services Research Not Involving Clinical Trials (R34 Clinical Trial Not Allowed)","12/30/2024","1/8/2028","R34","NIH","NIMH","None","PAR-25-284","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-284.html"
"Innovative Mental Health Services Research Not Involving Clinical Trials (R01 Clinical Trials Not Allowed)","12/30/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-283","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-283.html"
"Planning for Product Development Strategy (R34 Clinical Trial Not Allowed)","12/30/2024","12/5/2026","R34","NIH","NIAID","None","PAR-25-099","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-099.html"
"Translational Bioinformatics and Experimental Approaches to Advance Drug Repositioning and Combination Therapy Development for Alzheimers Disease and Related Dementias (R01 Clinical Trial Not Allowed)","12/30/2024","5/8/2028","R01","NIH","NIA","None","PAR-25-374","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-374.html"
"Advancing Vision Health Equity through Multi-level Interventions and Community-Engaged Research (R01 - Clinical Trial Optional)","12/30/2024","3/4/2025","R01","NIH","NEI","NIMHD","RFA-EY-25-002","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-EY-25-002.html"
"Cutting-Edge Basic Research Awards (CEBRA) (R21 Clinical Trial Optional)","12/30/2024","8/12/2027","R21","NIH","NIDA","None","PAR-25-101","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-101.html"
"Notice of Special Interest (NOSI): Research on rare cancers across the cancer control continuum","12/30/2024","1/8/2028","R01,R03,R21,U34,R34,P01","NIH","NCI","None","NOT-CA-25-010","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-CA-25-010.html"
"Ex Vivo Models for Studies at the Intersection of HIV and Addictive Substance Use (R01 Clinical Trial Not Allowed)","12/30/2024","8/14/2025","R01","NIH","NIDA","None","RFA-DA-25-074","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-074.html"
"Secondary Analysis of Existing Datasets in Heart, Lung, and Blood Diseases and Sleep Disorders (R21 Clinical Trial Not Allowed)","12/30/2024","1/8/2026","R21","NIH","NHLBI","None","PAR-25-056","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-056.html"
"Early Immune System Development and Ontogeny (R01 Clinical Trial Optional)","12/30/2024","1/8/2029","R01","NIH","NICHD","None","PAR-25-362","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-362.html"
"Research on Current Topics in Alzheimer's Disease and Its Related Dementias (R01 Clinical Trial Optional)","12/30/2024","11/6/2027","R01","NIH","NIA","NINDS","PAR-25-332","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-332.html"
"Research on Current Topics in Alzheimer's Disease and Its Related Dementias (R21 Clinical Trial Optional)","12/30/2024","11/17/2027","R21","NIH","NIA","None","PAR-25-331","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-331.html"
"Notice of Special Interest (NOSI): Research to Identify State and Local Policies, Programs, and Strategies that have Contributed to Reductions in Overdose Deaths","12/30/2024","5/8/2028","R21,R03,R01","NIH","NIDA","None","NOT-DA-24-057","NOSIS","Not_Allowed","https://grants.nih.gov/grants/guide/notice-files/NOT-DA-24-057.html"
"Notice of Special Interest (NOSI): Bold New Bioengineering Research for Heart, Lung, Blood and Sleep Disorders","12/30/2024","1/8/2028","R21","NIH","NHLBI","None","NOT-HL-24-037","NOSIS","Not_Allowed","https://grants.nih.gov/grants/guide/notice-files/NOT-HL-24-037.html"
"Notice of Special Interest (NOSI): Mechanisms Driving Obesity 
and Prostate Cancer Risk","12/30/2024","1/8/2028","R01,R21,K08,K22,K99/R00","NIH","NCI","None","NOT-CA-25-002","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-CA-25-002.html"
"Notice of Special Interest: Cardiorespiratory and Sleep Complications of the Muscular Dystrophies","12/20/2024","2/6/2028","R01","NIH","NHLBI","None","NOT-HL-24-036","NOSIS","Not_Allowed","https://grants.nih.gov/grants/guide/notice-files/NOT-HL-24-036.html"
"Notice of Special Interest (NOSI): AI/ML in Pre-Clinical Drug Development for Psychiatric Disorders","12/20/2024","1/8/2029","R21,R01","NIH","NIMH","None","NOT-MH-25-050","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-MH-25-050.html"
"Notice of Special Interest (NOSI): Molecular and Cellular Computational Tools Supporting Fundamental Neuroscience Research in Health, Mental Illness and Developmental Processes","12/20/2024","5/10/2028","R21,P50,R01,R03,R15,UG3/UH3","NIH","NIMH","None","NOT-MH-25-045","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-MH-25-045.html"
"Notice of Special Interest (NOSI): NCI's Interest in Research on Interprofessional Teamwork and Coordination During Cancer Diagnosis and Treatment","12/19/2024","1/8/2028","R01,UG3/UH3,R03,R21,P01","NIH","NCI","None","NOT-CA-25-007","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-CA-25-007.html"
